src_id,dst_id,weight,shared_controller_cnt
2467,187,1.0,1
2467,191,1.0,1
2467,820,1.0,1
2467,852,1.0,1
2467,861,1.0,1
2467,887,1.0,1
2467,959,1.0,1
2467,1038,1.0,1
2467,1192,1.0,1
2467,1201,1.0,1
2467,1272,1.0,1
2467,2192,1.0,1
2467,2208,1.0,1
2467,2212,1.0,1
2467,2228,1.0,1
2467,2241,1.0,1
2467,2289,1.0,1
2467,2297,1.0,1
2467,2308,1.0,1
2467,2313,1.0,1
2467,2315,1.0,1
2467,2348,1.0,1
2467,2353,1.0,1
2467,2469,1.0,1
2469,96,1.0,1
2469,136,1.0,1
2469,169,1.0,1
2469,183,1.0,1
2469,187,1.0,1
2469,191,1.0,1
2469,820,1.0,1
2469,852,1.0,1
2469,861,1.0,1
2469,887,1.0,1
2469,959,1.0,1
2469,1038,1.0,1
2469,1192,1.0,1
2469,1201,1.0,1
2469,1272,1.0,1
2469,2192,1.0,1
2469,2208,1.0,1
2469,2212,1.0,1
2469,2228,1.0,1
2469,2241,1.0,1
2469,2289,1.0,1
2469,2297,1.0,1
2469,2308,1.0,1
2469,2313,1.0,1
2469,2315,1.0,1
2469,2348,1.0,1
2469,2353,1.0,1
2469,2467,1.0,1
2488,1257,1.0,1
2496,1279,1.0,1
2544,872,1.0,1
2557,276,1.0,1
2589,212,1.0,1
2590,375,1.0,1
2590,2301,1.0,1
2714,1114,1.0,1
2736,835,1.0,1
2745,247,4.0,4
2752,557,1.0,1
2784,2154,1.0,1
2789,1192,1.0,1
2789,1201,1.0,1
2815,332,1.0,1
2906,498,1.0,1
